emp_id,sin,salary,payroll,level
93,970 898 3532,128156,3530482603663710,L9
94,589 192 2248,179839,6392873998733318,L6
95,841 831 0498,152603,30035047218920,L5
96,983 870 7490,73900,633462799888888712,L7
97,399 440 8812,134354,3583428247790076,L1
98,193 777 4578,51228,677118219886289255,L10
99,589 774 8264,137460,30489897086756,L6
100,354 680 6506,133358,6397310597102251,L1
101,803 147 3687,91417,4521532626158,L2
102,377 110 1621,139674,201637014443689,L9
103,905 971 4774,112875,5002351126110703,L7
104,412 978 9947,79831,3536174555382399,L10
105,362 670 3189,113537,3585254344706833,L7
106,824 374 1830,97725,3583163303699958,L1
107,517 139 9448,140252,4041599637780598,L3
108,851 622 8899,133745,3557002835531473,L7
109,961 509 7116,127682,5038110348550742,L2
110,672 457 3861,134145,3573049930056625,L1
111,451 647 9025,87015,3578552362469336,L10
112,820 765 1061,129055,3536461941985773,L1
113,279 481 2705,147628,4905436348121379377,L6
114,765 228 3113,102783,3532820085943738,L7
115,834 277 6438,81566,3572728182903375,L2
116,884 947 9867,135839,374622193850608,L1
117,356 689 3562,140144,5610778642482444,L2
118,314 767 1558,166807,5048376472277851,L6
119,884 198 5111,85732,5575090650254555,L10
120,132 752 9129,50233,3581593846059652,L9
121,243 911 4493,133052,3573175035232520,L7
122,926 311 0416,60203,3566836872397689,L4
123,590 293 4677,91599,4017950239769499,L4
124,707 142 3379,95765,5602233163789355,L7
125,227 420 7784,80080,30357501959165,L5
126,996 519 0460,147837,5458367100159796,L10
127,984 540 0760,125471,3530868263098702,L3
128,558 477 9020,177445,3550276438167284,L8
129,184 225 8399,140710,201999329201396,L8
130,398 685 9956,134720,6706224915167602635,L9
131,194 572 7999,50851,5002350489482154,L6
132,922 256 8151,179402,3589146862171612,L1
133,907 300 2479,53122,3569396071653751,L3
134,319 779 9818,85098,3582420762007730,L7
135,938 511 9333,52494,5100135344299443,L2
136,621 448 9783,150986,3567304558888579,L6
137,548 729 5014,110369,560225909571581879,L9
138,247 333 6407,142908,6767093459471707,L9
139,437 666 1765,64922,3559400091109786,L4
140,282 764 8387,150230,3586731207940426,L3
141,907 555 8714,85412,6767502838862450560,L3
142,710 859 7206,116011,3559964041950292,L4
143,187 927 7562,168965,3559528112563191,L10
144,320 878 8481,54590,6331103892546264457,L8
145,946 881 2957,66386,3534089246742193,L5
146,637 106 5492,107741,3581088905420119,L9
147,664 701 7017,141102,5100133253838277,L9
148,508 626 8856,55635,3585971607070926,L5
149,436 936 5758,83119,3579313098650312,L1
150,576 290 6109,166576,3543211873874896,L5
151,216 444 1674,60893,5602216036513052,L4
152,966 806 0544,167820,4508269283619831,L2
153,896 525 5659,84045,5048379601784268,L2
154,905 490 9814,88596,3581532547071228,L2
155,128 282 0367,162987,5602225035152127,L5
156,363 282 2550,169185,3532939993127356,L8
157,289 852 5256,112489,4936713493562204418,L3
158,130 663 4756,50287,3589220333069273,L2
159,710 916 2321,120652,3539505497402380,L1
160,295 634 7791,80725,374622509040019,L3
161,169 182 0015,79901,4844988301368294,L3
162,784 941 8850,56903,5402904625085663,L8
163,609 141 0033,68562,201655265983815,L3
164,377 400 0112,81119,5266182866286879,L4
165,307 170 5098,119593,3551139235063982,L1
166,697 211 9258,93789,3578415659927178,L3
167,186 517 4577,66374,370080404282406,L3
168,484 376 7949,101131,5602237904272779,L4
169,336 469 4560,148521,3552685374205734,L10
170,117 538 4518,76329,5100149423812075,L1
171,383 208 1236,154470,201581452315951,L7
172,893 250 2625,150510,374288465224417,L4
173,354 468 3143,83600,3534489485008852,L2
174,593 833 7743,55531,6331103087234259675,L1
175,274 283 7214,143468,30318391238219,L5
176,248 468 1289,89710,30504110219578,L10
177,333 294 1792,168083,5559806683904233,L3
178,604 294 4222,62878,5550714144278081,L3
179,920 982 6417,147770,3562654724719974,L9
180,827 673 6642,179902,5010123617689341,L4
181,236 909 8223,165990,3556629892681410,L6
182,797 714 1070,166122,201808263906128,L9
183,810 498 5282,64102,675989806537929899,L8
184,332 520 3609,112143,3576809221187711,L5
185,190 307 9385,178649,337941020644232,L6
186,624 604 0718,152441,6380614592768373,L1
187,653 675 5503,144808,337941499088879,L1
188,530 747 6682,57386,5337442370238567,L4
189,747 763 2518,80457,30570460764034,L4
190,280 504 6650,52481,633479696414161591,L10
191,449 372 0735,79431,67719695033439116,L4
192,927 640 6784,151263,4917064658841762,L2
193,613 830 0464,87200,201895160428306,L9
194,727 949 9270,176604,3580291535920448,L5
195,565 820 2455,62533,5158076400613443,L10
196,378 986 3231,78041,201449166228821,L3
197,734 926 2215,90552,3583952909997240,L3
198,946 207 8616,64364,4905697360769456551,L8
199,660 804 2689,147948,3583011761866207,L7
200,641 707 9812,108005,6304818340007987441,L5
201,259 744 6163,149491,36801874872178,L6
202,825 225 4010,50433,3531655017825525,L10
203,798 964 0763,66514,3528968724316356,L10
204,570 722 9821,86309,3531600340236073,L7
205,776 998 3336,123783,3555329623438047,L1
206,419 652 4235,74454,67596314805222506,L9
207,983 250 6113,91401,3579236367041121,L3
208,845 915 4533,148171,5002353565821832,L10
209,900 947 8998,92565,67098291566613755,L5
210,116 814 6118,119857,4911353014342683396,L9
211,540 322 6429,136354,6389590353879479,L2
212,419 994 9402,101323,337941750883778,L10
213,498 673 8612,63977,3545086938570822,L6
214,737 980 7002,80933,3550725191638121,L2
215,162 187 6140,75683,3554892553407374,L8
216,811 852 3218,114909,3546883725317618,L4
217,163 868 3897,55400,5108750564711455,L10
218,930 666 6176,57504,491192106494263688,L1
219,266 777 5329,68710,5108758949153673,L7
220,337 276 9543,88193,5038566159499230,L7
221,963 611 0148,87215,56100493690952708,L4
222,399 335 6106,120150,6333929970189333,L2
223,484 488 3720,122256,670977807993736989,L2
224,999 828 3846,87908,3572048323502667,L4
225,518 463 0643,98102,3573892164141419,L10
226,414 803 5051,81608,50187665816605828,L9
227,142 531 3186,84396,5018095103964170489,L3
228,618 494 5399,71852,3568396226298248,L10
229,607 909 0459,164085,3556708296657299,L10
230,305 483 3156,153710,4911902256299923335,L3
231,722 426 2670,120570,3534799926507878,L7
232,762 580 7796,143586,3587030293944080,L1
233,198 765 3282,172802,58931142490902998,L7
234,352 399 9471,97053,4041379456635,L10
235,459 219 3273,78708,6759739533108752232,L7
236,316 436 2721,93016,4017954951000,L10
237,603 787 6912,140794,5602210247447085,L4
238,184 655 8205,114701,349363931620241,L5
239,303 879 6437,131712,0604540254067312,L7
240,623 525 2745,151004,3568779545512599,L1
241,582 299 8190,169836,3540715532031279,L5
242,781 369 4883,52533,30297491550022,L4
243,993 663 9399,78802,3583571339842741,L8
244,695 573 1323,140689,4917788308332414,L3
245,205 791 5739,145464,3572759489681554,L5
246,284 388 4998,129068,6304843055347465986,L1
247,523 120 5178,165151,3577383027660635,L5
248,254 792 6071,94497,56107259744951290,L6
249,344 181 5204,60373,3573940861753646,L10
250,258 426 4257,83491,3575656120405863,L7
251,910 497 0681,62335,3565266692897265,L3
252,503 824 8100,168997,56022450222681226,L1
253,217 501 6969,75515,3568945204236875,L7
254,838 258 0025,119138,5007661887191527,L7
255,299 476 7341,75956,6767528281094232177,L4
256,273 789 9172,122883,3547696415239242,L7
257,790 412 6503,82968,4405095261422938,L5
258,470 828 6590,62799,3572502738676748,L5
259,384 347 5040,78266,5108754641431582,L7
260,898 288 4275,163220,5610212708073400,L10
261,421 701 1955,142696,4041594926081,L7
262,738 306 5488,113819,4041594269458,L2
263,353 195 3394,137822,490331490401940305,L6
264,305 906 0672,51169,3543931388957601,L9
265,543 226 2600,115846,3588923702335065,L8
266,788 263 0436,152173,0604933189329461,L3
267,157 488 1174,107502,490522335151242981,L3
268,835 141 8377,177265,3574296367062100,L9
269,424 631 9877,178033,3551309448469660,L8
270,533 489 6508,52025,6380009350634950,L6
271,846 780 2496,152966,5171837718357681,L8
272,628 440 2257,85937,5100170535977424,L9
273,614 829 8284,67187,3580139361577149,L7
274,819 342 9915,75750,633369735797443508,L2
275,168 400 6859,80669,3545502576638739,L2
276,159 454 9349,179893,36966375043007,L8
277,953 969 4780,111702,30343875881409,L8
278,377 588 7106,170280,3557578714644180,L2
279,583 106 6805,147252,5435767272831676,L4
280,940 519 0866,117176,3564754779433477,L5
281,846 448 5072,172903,4936820651800395,L3
282,473 748 2511,109557,3566701052830315,L10
283,144 585 6397,88256,3550903272204473,L3
284,770 709 7910,88798,3589378125857287,L4
285,474 457 9689,173333,3587002174626763,L3
286,594 323 9970,134472,5010120784306790,L2
287,773 834 3622,114808,6331109778406534,L4
288,302 797 6159,83036,5485272064090689,L10
289,561 827 0617,155962,6388391114098793,L8
290,625 447 7886,119751,3532506804168828,L10
291,161 897 8726,161235,5260567642832853,L5
292,412 319 4990,145788,3554727636311930,L4
293,349 380 1891,55682,3555797020404152,L6
294,943 260 0979,85617,5127570920041430,L9
295,202 750 9192,142534,3532529623376877,L10
296,125 618 9472,110083,5100172863377599,L5
297,943 893 3918,152000,337941434590732,L7
298,484 724 2552,122295,5602225148487709,L4
299,452 622 6818,93840,3551994567039434,L10
300,976 741 4678,146052,3529168639118240,L1
301,519 133 9769,156326,3540059842356047,L9
302,548 298 5628,164853,3535242738184825,L10
303,979 882 3213,104175,5010120735825187,L5
304,340 747 4307,105973,374288042783893,L7
305,960 358 1977,98145,3588317287824363,L7
306,884 908 0184,99525,3541126240556848,L3
307,747 224 4971,65421,56104699172115046,L6
308,911 990 6901,94387,3550334213776140,L7
309,469 285 7183,71098,4097254521091032,L3
310,113 778 5201,103192,3562622316299168,L5
311,382 542 6171,125464,3529712531471676,L5
312,756 787 3371,146751,5504973744807106,L10
313,935 292 4474,163159,3584456845261249,L10
314,457 446 0055,64047,589369321312947002,L2
315,766 387 7275,177300,3550004323808147,L3
316,102 769 7145,114931,3555224278231633,L2
317,103 542 1722,106919,5602221459414614,L7
318,859 876 0086,175658,3557266218170635,L6
319,469 778 0888,103264,30228983659989,L10
320,469 786 2441,109396,3576271923420355,L3
321,121 987 6002,157527,67615293731454457,L5
322,989 251 0750,169514,6333877038936452,L1
323,411 229 2422,137974,3571102960018106,L6
324,525 496 7372,169333,201928046224332,L9
325,433 571 2874,104325,3576663197521514,L8
326,544 359 5984,97450,30440156010144,L9
327,261 208 4200,169237,3569621065409864,L7
328,868 264 2128,110206,3537258948346002,L3
329,415 483 2230,162056,5010122923206451,L3
330,307 420 8006,100181,3540206730852831,L5
331,488 137 7005,160801,5602249036178881,L7
332,269 537 2819,117740,3559963264478569,L5
333,802 499 1678,158439,4405901286795812,L5
334,968 319 8484,165111,5610484936524591,L5
335,588 248 0837,135927,5602211422638290,L4
336,350 318 9566,52182,4017958789491992,L10
337,480 769 1175,137834,201818938537166,L3
338,425 848 9754,111515,58937849656095227,L1
339,818 990 3893,148956,3550508790328413,L8
340,584 882 7619,107674,3571800314110194,L10
341,725 426 3727,50129,3577455138666386,L8
342,433 818 0403,128099,3535667192900870,L10
343,510 125 4724,93886,6762376122672252357,L4
344,359 679 3661,161428,3577285784791455,L7
345,171 329 6867,111906,3536242085168263,L2
346,527 560 6739,101214,4508665573615530,L6
347,464 232 8496,175232,3560886538171149,L4
348,453 636 8543,160589,6396731062842926,L7
349,929 945 0112,74572,3542133143390167,L1
350,319 937 9097,90932,5602226904618126287,L10
351,977 661 8230,177578,6706030439083589077,L5
352,671 940 0922,88527,06047449970132594,L5
353,206 453 9371,94653,3585061580188554,L4
354,597 314 9122,154138,3558672538774700,L5
355,163 921 3253,171308,3578455845938051,L5
356,579 734 8169,54774,6759035119649172,L9
357,132 848 3742,67544,3545063594022208,L7
358,987 981 4791,78691,3542038434712112,L7
359,769 970 5917,86914,5602226986869586,L1
360,804 352 9690,148358,3550720460000491,L8
361,765 935 6741,138270,5010127491353874,L1
362,160 718 3478,164942,5010121591092128,L6
363,887 995 0033,89976,3544752677991559,L8
364,318 906 7846,58074,3579117409870521,L8
365,689 483 6055,129862,30054930474425,L3
366,207 303 9440,173605,3577616012032116,L2
367,802 215 7055,77532,3551786086787745,L8
368,476 561 2904,100601,5108751800974493,L6
369,374 787 4996,168423,3559149500975010,L5
370,759 904 5760,174257,3537252062000651,L5
371,208 240 4247,145625,3539698354600475,L1
372,532 482 0348,157336,4911848472525916,L3
373,850 145 6489,116025,3548944910868464,L3
374,819 225 1041,52362,4175003380537519,L7
375,695 515 6522,80482,3531023292943135,L3
376,958 706 6420,108998,3564672146634850,L8
377,153 649 3992,148789,3528729387902910,L2
378,854 962 7162,156086,3530433373247432,L4
379,262 870 0918,130841,5602234008564995,L1
380,656 266 6153,153605,3588226456436315,L1
381,862 297 0153,81850,6759626412657135600,L9
382,614 576 7192,144287,5602220475362849,L4
383,764 204 4417,148954,201986035950432,L9
384,752 134 2397,166025,3559704486281062,L10
385,489 186 7150,159955,5602213265841163,L3
386,235 326 8417,151391,3571968519133939,L6
387,996 945 7922,153779,3582683831812204,L4
388,484 385 1186,95296,6759700965771750983,L9
389,582 576 0461,69921,3530040863811393,L7
390,313 638 5554,74458,561023298874604121,L7
391,739 259 2516,118759,3556540059318151,L2
392,588 165 1598,93064,201678386816078,L4
393,331 921 7364,166034,3536434732679319,L5
394,979 393 9394,101638,4905556130397288456,L9
395,153 462 3603,145342,3577693871067079,L2
396,975 943 2253,92317,4017953414042,L6
397,345 277 2692,168758,3577662639018708,L5
398,331 637 3915,80707,6392559556336715,L7
399,972 831 6457,121771,3561528809946192,L8
400,837 525 7480,75890,4582354275930054,L2
401,576 956 7540,116370,3537992128459199,L10
402,951 785 1677,75804,06043042214278010,L9
403,556 404 1297,91224,3560733449720350,L10
404,180 499 9392,74558,3584014197362097,L10
405,452 561 0706,116077,3536666183191027,L10
406,906 691 4211,167056,5602241328267944,L7
407,690 516 2460,94159,3540210477365387,L7
408,749 310 8835,99765,5641821403201026,L1
409,511 886 1922,154791,5602250066148990373,L7
410,453 462 6495,96727,3552999983412106,L4
411,849 243 6500,97200,374288515525128,L6
412,117 568 2090,102789,30310532729867,L2
413,543 670 8144,85896,3584655361988164,L10
414,384 407 9743,72585,676748914894951884,L4
415,889 949 3627,113489,30465038358320,L8
416,713 814 1440,109187,5602258673171281,L5
417,191 728 4781,126407,3553451415204452,L7
418,348 262 6291,179605,4017957270390,L1
419,733 579 4445,173688,30319829608783,L5
420,702 172 1650,168560,3559019256817726,L5
421,151 349 1626,91665,4026581110397727,L1
422,461 752 7209,107657,4911278120955589473,L4
423,245 523 0486,58708,5602213578180432,L2
424,103 552 9689,109656,491161080668740598,L8
425,932 218 2990,120675,3586274635206268,L10
426,232 770 2143,167822,3557783087391894,L10
427,809 142 5063,80021,5602234305381002,L2
428,249 422 2418,136124,675921923073390807,L10
429,414 788 7732,69755,3539029046191840,L2
430,887 529 5832,86309,3532135080071009,L3
431,948 569 3711,154431,30070964567678,L3
432,321 459 1871,97228,5602238192785647,L6
433,310 308 0429,108472,3578638648442476,L4
434,569 145 7221,151853,3560748174702811,L6
435,909 337 5398,76261,5010126114421639,L3
436,775 137 4666,97231,6709799587616721,L8
437,374 702 3291,75463,50207419717502163,L2
438,344 547 8088,99935,4041374188944,L6
439,948 212 7723,100066,5602225635742079,L2
440,510 282 8078,140950,201748430623216,L1
441,367 873 6585,157165,3579531162417587,L10
442,300 237 9779,145695,6761686200473371035,L2
443,848 629 2519,55407,67590345739065195,L5
444,195 209 5098,121474,3548110926377862,L7
445,873 941 7835,145394,3565736480882075,L9
446,913 361 5442,65355,6334058847924844,L8
447,717 286 7675,127655,3570603234705056,L4
448,732 398 2536,160705,4844744396158649,L4
449,986 513 9912,68159,6759586920772686,L7
450,879 751 1961,73827,3547409930269862,L4
451,550 910 1860,169877,3528184380425271,L4
452,847 584 5377,140840,3530879551732514,L3
453,662 820 6990,81154,3542662263879245,L7
454,104 648 4567,91795,3571992363595969,L6
455,824 627 8798,64253,3578821323723473,L4
456,109 941 9738,117442,3552532104148893,L1
457,457 122 0432,72868,67623950064399456,L6
458,569 589 0845,54740,675995427872621009,L9
459,726 401 7362,59602,5002353302097159,L8
460,601 892 7557,111146,4041596287328330,L3
461,334 951 5038,130975,3547146946911778,L9
462,634 696 2789,123527,3540592990874106,L7
463,231 871 5671,124803,670925270716543567,L8
464,280 630 2021,107034,5468977077540881,L2
465,236 811 3353,127345,670636893886552389,L1
466,597 346 4715,173581,3528644424206086,L1
467,772 908 0205,63734,5602224763484182,L5
468,667 361 8132,93496,3551629133539273,L1
469,777 444 1855,105235,6759180207348012,L2
470,324 617 0138,109674,3555032243980410,L1
471,404 716 3668,88407,201752552052444,L8
472,308 435 2478,141384,6763023525155049840,L1
473,925 943 7421,136331,3531399511166090,L2
474,657 330 2527,81568,3575472929135119,L5
475,682 765 4138,79660,372301276975770,L6
476,260 973 6813,161287,6762146229478426074,L7
477,557 463 6898,145443,3588414058379295,L9
478,168 209 7075,65551,633110574238119548,L4
479,600 946 5133,134848,3545351361599825,L9
480,891 284 1451,173190,3529658210395985,L7
481,290 138 8477,154024,3554458266283559,L10
482,188 731 9302,169091,3579724310693379,L2
483,709 960 7378,176807,3560920541275330,L10
484,778 453 6136,57471,3544520017655535,L8
485,622 684 5580,52321,4917296491019541,L8
486,362 806 4997,166227,3547095841895026,L10
487,858 514 4905,85659,5174461400481498,L9
488,333 694 8970,142871,3578439596926762,L3
489,526 129 6246,158404,3561723678256670,L2
490,665 569 7304,139350,3538476935095973,L10
491,463 698 1851,130582,5100174706239135,L3
492,217 234 0459,133599,56022393191819379,L6
493,352 106 0289,89821,3532426209464161,L3
494,180 171 2994,86902,30252787396440,L2
495,639 709 3293,95275,3580764439658694,L7
496,767 403 1502,154157,3568091139857020,L4
497,202 167 6978,104315,4017959485787212,L5
498,842 585 8373,50321,5108758012492404,L7
499,597 710 6469,161709,5100179580847549,L1
500,488 675 3941,167100,3583916216018230,L7
501,281 423 2617,137898,3588731815289925,L10
502,792 374 3968,63685,201925199863114,L10
503,891 452 8494,68160,490322753580838959,L5
504,184 523 4678,122483,3573219052664767,L6
505,172 316 3743,97034,560223926613366269,L7
506,951 572 6702,54418,3528553226178502,L9
507,187 156 9029,51871,4913156446556134,L5
508,928 364 9470,168786,3533455436143313,L6
509,797 993 6992,159102,374288814749452,L8
510,455 235 0218,143821,3530840096889698,L1
511,282 643 0308,90987,3586683902337095,L6
512,909 516 1120,127477,3588609711535825,L6
513,360 280 7556,59771,6771568026670406,L4
514,113 663 4812,146182,6385679054020220,L9
515,439 886 3007,143648,201792633405336,L7
516,950 731 6111,95337,3573179808684834,L6
517,641 961 0126,76826,4017953827037,L7
518,469 464 2654,144337,3544500577247345,L10
519,335 654 2757,79240,201654283878800,L6
520,108 429 6962,68228,677182836775253802,L7
521,776 518 4946,157641,372301917926653,L3
522,693 765 2267,158227,589335242752414850,L10
523,221 553 6687,169408,560222102260131973,L4
524,543 871 8185,145535,5100137962640544,L8
525,523 157 6998,140117,4041599776002,L2
526,377 333 1481,172251,3565013508339466,L5
527,865 437 3755,169778,3530756515803831,L4
528,508 571 4868,120540,201937150512176,L6
529,502 945 0697,135167,3583610567172098,L6
530,840 407 9443,166283,3551823656160787,L5
531,763 394 5191,126618,3549144739746640,L10
532,765 100 2187,57370,3563810969917611,L3
533,196 827 5195,145875,6759319317761151322,L7
534,407 679 8514,97245,3582388768402256,L5
535,225 223 2037,171019,561051800334884774,L6
536,308 492 3044,62716,6333672882497523,L9
537,778 940 8453,115088,3570292758561655,L4
538,331 855 4164,101395,201479547943103,L8
539,937 219 9774,163017,3588441131692345,L3
540,294 680 3578,84007,6706556450042057704,L4
541,654 282 9907,114923,6759260022805451,L5
542,699 922 0849,115449,30026510063018,L9
543,687 642 9136,105452,6771527089234677919,L10
544,859 584 3689,125967,633344832638293760,L6
545,757 621 6071,127660,6389904337005848,L10
546,163 184 6742,156546,201845826602018,L3
547,303 345 8226,89186,373277894500027,L6
548,838 789 1416,69104,5641823567473078,L3
549,198 573 6181,67042,5002358630906021,L4
550,845 430 2868,51781,3562233945154848,L9
551,975 331 0227,109453,3572486010809906,L10
552,306 784 2086,80872,201546955092399,L5
553,136 348 3242,88877,3588903661202563,L8
554,189 902 5970,125779,490522893415918044,L8
555,862 681 6035,118316,3568532894765841,L10
556,952 371 4189,146074,5602222674543294,L7
557,779 199 6347,118386,6334401028283254376,L2
558,159 857 3829,152040,3578839374532536,L5
559,326 941 4471,137237,6394299229728752,L5
560,573 425 6117,116085,3548923662087671,L9
561,796 178 0582,114188,560225883618367354,L9
562,513 891 8283,96402,633110672518193702,L10
563,194 882 0148,106358,676720939154875681,L3
564,568 767 0203,161736,4041379417108,L7
565,530 807 0741,59486,6759144053451346,L5
566,631 519 4511,175676,3551776695299927,L6
567,781 759 8322,155989,3560860017818678,L3
568,844 985 5582,68588,30114358570615,L3
569,734 789 6932,143413,3577103524826293,L8
570,394 783 4672,87640,4405865402361074,L8
571,202 309 6834,68835,3535582974774494,L1
572,154 386 8820,58435,5100147380149515,L3
573,203 983 6905,159254,3580339401703081,L8
574,308 438 5043,173444,6333041294648788999,L10
575,846 984 6457,83562,3576371265347545,L3
576,368 425 3704,175149,676787617219961577,L8
577,366 681 4088,80855,4913049949639749,L7
578,661 924 2177,137349,5343493079282689,L3
579,258 817 8634,97812,5100172172861374,L4
580,753 786 5835,79186,372301598077214,L3
581,253 290 0196,176291,30371129437389,L8
582,871 900 0810,178115,3580004522399470,L5
583,777 895 0583,115202,30532953431935,L5
584,432 314 9826,57461,4913587787103005,L1
585,430 234 3581,94379,5602241936896654,L9
586,929 637 8483,70100,56022439912144785,L8
587,325 543 4021,77150,374288235711891,L10
588,854 324 8742,167422,3529988022561130,L10
589,797 818 3590,144877,5007666703709055,L10
590,593 489 6725,87487,50381411101041807,L8
591,205 565 2428,141251,5602223970257969,L5
592,109 663 7346,132496,6379842552737335,L3
593,276 883 7961,50862,30111470118943,L2
594,417 930 1691,74497,3559121644613708,L7
595,550 415 4670,88797,3540935051603999,L5
596,525 391 6546,140527,3549457716437805,L5
597,690 702 2423,85285,3531122036290967,L4
598,293 861 8795,168984,5130611340752084,L1
599,284 717 5970,172922,3565754064148706,L1
600,944 933 4818,66145,3537988525882447,L3
601,809 530 4176,96721,5002352774761623,L6
602,418 852 1068,106030,3537176030243806,L7
603,595 827 6919,63693,560222140307175397,L2
604,134 376 5113,165909,3529782319525597,L4
605,310 124 4516,105358,3560143900076666,L8
606,989 715 9320,108462,5100133158865557,L5
607,541 465 3623,80173,3562037251765315,L10
608,944 527 2462,116245,3545424294341613,L1
609,948 695 3977,120602,676713961748476650,L9
610,638 523 9435,92040,06043290296416913,L2
611,222 546 7848,116662,4026594524363631,L3
612,823 163 9238,119432,30485960606736,L2
613,389 176 1750,116866,50181801984225406,L3
614,367 623 3006,138614,3547727358852277,L8
615,577 120 8493,51102,4175000672632859,L1
616,628 116 4681,64290,5100130081747860,L5
617,929 882 8660,103063,3540307595144650,L8
618,916 443 8684,147446,3534389786914263,L6
619,656 202 3874,61705,3547620162349855,L2
620,116 608 1408,120417,3558626787141862,L8
621,763 310 2803,84032,3545053035241129,L4
622,555 665 9054,121546,6334408436307317,L9
623,261 484 4984,52037,378088744532705,L10
624,859 192 8955,117206,5602215104734376,L8
625,875 430 9022,176847,30480196811754,L5
626,893 484 6901,99380,3533155054808433,L3
627,590 976 1960,139439,3568484138064781,L8
628,862 963 2309,107038,630476634570174735,L5
629,462 490 2826,153198,3574385806287558,L2
630,627 265 1135,171860,6763208430682903071,L1
631,492 259 1153,60297,5100130437708764,L3
632,792 805 7968,155067,30573928663608,L8
633,265 476 4334,62527,6334966979878283,L3
634,555 493 7133,129795,3556674717565075,L2
635,161 532 4199,173399,4041378954657733,L7
636,654 869 0705,140401,3578050566668936,L4
637,900 527 3256,71106,3546996526683549,L4
